CCYY-MM-DD_HH:NN:SS          SITE           U10           V10             W            T2           SLP           RH2          RAIN         CLFRL         CLFRT          SWDN
2024-06-23_15_00_00    xingdenglu        2.28        3.30       0.036      304.27      997.66       26.16        0.00        0.00        0.00      811.04
2024-06-23_16_00_00      badaguan        0.48        3.81       0.032      297.44      997.98       58.12        0.00        0.00        0.00      642.40
2024-06-23_16_00_00       beizhai        2.86        4.03       0.121      303.98      998.07       22.38        0.00        0.00        0.00      641.34
2024-06-23_16_00_00    dengzhoulu        0.74        3.39       0.017      301.66      998.05       29.77        0.00        0.00        0.00      642.62
2024-06-23_16_00_00       shangma        8.53       -1.94      -0.009      306.41      997.50       16.99        0.00        0.00        0.00      644.67
2024-06-23_16_00_00    xingdenglu        2.24        3.55       0.037      303.88      997.67       26.52        0.00        0.00        0.00      641.59
2024-06-23_17_00_00      badaguan        1.66        2.25       0.023      297.45      999.00       58.82        0.00        0.00        0.00      440.77
2024-06-23_17_00_00       beizhai        2.24        2.97       0.063      303.16      999.18       23.74        0.00        0.00        0.00      440.09
2024-06-23_17_00_00    dengzhoulu        2.40        1.38       0.023      301.67      999.05       30.24        0.00        0.00        0.00      440.64
2024-06-23_17_00_00       shangma        8.72       -4.08      -0.008      305.87      998.67       17.91        0.00        0.00        0.00      442.26
2024-06-23_17_00_00    xingdenglu        5.71       -0.56       0.066      304.18      998.72       24.78        0.00        0.00        0.00      440.02
2024-06-23_18_00_00      badaguan        5.74       -3.84      -0.029      300.24      999.58       43.06        0.00        0.00        0.00      225.88
2024-06-23_18_00_00       beizhai        6.64       -4.16       0.135      303.56      999.79       19.88        0.00        0.00        0.00      225.54
2024-06-23_18_00_00    dengzhoulu        6.09       -3.47       0.004      304.56      999.62       18.95        0.00        0.00        0.00      226.35
2024-06-23_18_00_00       shangma        7.03       -5.13      -0.006      304.63      999.40       19.20        0.00        0.00        0.00      228.75
2024-06-23_18_00_00    xingdenglu        5.98       -3.57       0.077      303.80      999.42       24.19        0.00        0.00        0.00      225.91
2024-06-23_19_00_00      badaguan        4.41       -3.21      -0.018      299.36     1000.20       47.45        0.00        0.00        0.00       32.80
2024-06-23_19_00_00       beizhai        3.65       -2.69       0.066      301.01     1000.50       23.52        0.00        0.00        0.00       32.79
2024-06-23_19_00_00    dengzhoulu        4.33       -3.05       0.002      303.16     1000.26       22.53        0.00        0.00        0.00       33.04
2024-06-23_19_00_00       shangma        3.73       -1.96      -0.004      302.70     1000.04       22.51        0.00        0.00        0.00       35.22
2024-06-23_19_00_00    xingdenglu        4.61       -1.52       0.061      302.26     1000.12       27.13        0.00        0.00        0.00       33.22
2024-06-23_20_00_00      badaguan        4.53       -1.81      -0.016      298.87     1000.71       48.89        0.00        0.00        0.00        0.00
2024-06-23_20_00_00       beizhai        2.79       -1.62       0.049      298.12     1001.20       28.83        0.00        0.00        0.00        0.00
2024-06-23_20_00_00    dengzhoulu        4.45       -2.28       0.006      302.31     1000.76       23.38        0.00        0.00        0.00        0.00
2024-06-23_20_00_00       shangma        1.80       -4.25      -0.001      300.26     1000.81       27.89        0.00        0.00        0.00        0.00
2024-06-23_20_00_00    xingdenglu        3.57       -2.33       0.050      300.97     1000.79       28.94        0.00        0.00        0.00        0.00
2024-06-23_21_00_00      badaguan        1.37       -4.04      -0.026      297.94     1001.01       51.89        0.00        0.00        0.00        0.00
2024-06-23_21_00_00       beizhai       -0.60       -3.09      -0.125      296.04     1001.36       37.28        0.00        0.00        0.00        0.00
